
Year,Hoover Release,Mexico Delivery,Metric (Release - Mexico),Difference from 7.5 MAF,Lake Powell Release (MAF, approx. water year),Lake Powell Storage (MAF, end-Dec live),Lake Mead Storage (MAF, end-Dec live)
1985,11.50,1.50,10.00,+2.50,12.50,22.5,25.0
1986,11.80,1.50,10.30,+2.80,13.00,23.0,25.5
1987,10.50,1.50,9.00,+1.50,11.50,23.5,25.0
1988,9.20,1.50,7.70,+0.20,9.50,23.0,24.5
1989,9.00,1.50,7.50,0.00,9.00,23.5,24.5
1990,9.10,1.50,7.60,+0.10,9.20,24.0,25.0
1991,8.90,1.50,7.40,-0.10,9.00,23.5,24.5
1992,9.00,1.50,7.50,0.00,9.20,24.0,25.0
1993,9.20,1.50,7.70,+0.20,9.50,24.2,25.5
1994,9.00,1.50,7.50,0.00,9.00,23.8,25.0
1995,9.10,1.50,7.60,+0.10,9.20,24.0,25.2
1996,8.90,1.50,7.40,-0.10,9.00,23.5,24.8
1997,9.00,1.50,7.50,0.00,9.20,24.0,25.0
1998,9.20,1.50,7.70,+0.20,9.50,24.2,25.5
1999,9.10,1.50,7.60,+0.10,9.30,23.8,25.2
2000,9.20,1.50,7.70,+0.20,8.23,23.5,25.0
2001,9.00,1.50,7.50,0.00,8.23,22.0,24.0
2002,9.10,1.50,7.60,+0.10,8.23,20.0,22.5
2003,8.90,1.50,7.40,-0.10,8.23,16.5,19.0
2004,9.00,1.50,7.50,0.00,8.23,14.0,17.0
2005,9.10,1.50,7.60,+0.10,8.23,12.5,15.5
2006,9.00,1.50,7.50,0.00,8.23,13.5,16.0
2007,9.10,1.50,7.60,+0.10,8.23,14.0,16.5
2008,9.00,1.50,7.50,0.00,8.23,13.0,15.0
2009,8.90,1.50,7.40,-0.10,8.23,12.0,14.0
2010,8.80,1.50,7.30,-0.20,8.23,13.5,15.0
2011,8.80,1.50,7.30,-0.20,8.23,15.0,16.5
2012,9.00,1.50,7.50,0.00,8.23,17.0,18.5
2013,9.00,1.50,7.50,0.00,8.23,16.5,18.0
2014,9.20,1.50,7.70,+0.20,9.00,15.0,16.5
2015,9.00,1.50,7.50,0.00,8.23,13.5,14.5
2016,8.70,1.50,7.20,-0.30,9.00,12.5,13.5
2017,8.90,1.52,7.38,-0.12,8.23,12.0,13.0
2018,9.11,1.50,7.61,+0.11,9.00,11.0,12.0
2019,8.10,1.50,6.60,-0.90,9.00,10.0,11.0
2020,8.30,1.50,6.80,-0.70,8.23,9.5,10.0
2021,8.60,1.50,7.10,-0.40,8.23,8.5,9.0
2022,8.00,1.46,6.54,-0.96,7.00,6.0,7.5
2023,7.80,1.40,6.40,-1.10,7.48,8.0,8.5
2024,7.84,1.42,6.42,-1.08,9.50,10.5,9.5
2025,8.03 (proj.),1.45 (sched.),6.58 (proj.),-0.92,8.00,9.0,10.0
